ticker,company_name,current_price,change_percent,volume,volume_ratio,rsi,macd,signals,signal_count,strength_score,news_sentiment,sentiment_score,fii_trend,dii_trend,last_updated
500034.BO,Unknown,1055.7,1.75,190696,0.25,72.11,29.1941,"[{'type': 'RSI_OVERBOUGHT_REVERSAL', 'strength': 'MODERATE', 'description': 'RSI overbought at 72.11, potential bearish reversal'}, {'type': 'BEARISH_DIVERGENCE', 'strength': 'STRONG', 'description': 'Bearish divergence: Price up but RSI down'}]",2,5,NEUTRAL,0.0,BUYING,BUYING,2026-08-08 17:15:37
500325.BO,Unknown,1326.5,2.59,848885,0.93,52.1,-4.3401,"[{'type': 'BEARISH_DIVERGENCE', 'strength': 'STRONG', 'description': 'Bearish divergence: Price up but RSI down'}]",1,3,NEUTRAL,0.0,BUYING,BUYING,2026-08-08 17:15:36
500112.BO,Unknown,1044.1,1.24,895923,1.3,49.64,6.1728,"[{'type': 'BEARISH_DIVERGENCE', 'strength': 'STRONG', 'description': 'Bearish divergence: Price up but RSI down'}]",1,3,NEUTRAL,0.0,BUYING,BUYING,2026-08-08 17:15:36
500510.BO,Unknown,3815.0,1.04,99546,0.57,16.36,-62.1146,"[{'type': 'RSI_OVERSOLD_REVERSAL', 'strength': 'STRONG', 'description': 'RSI oversold at 16.36, potential bullish reversal'}]",1,3,NEUTRAL,0.0,BUYING,BUYING,2026-08-08 17:15:39
500008.BO,Unknown,932.15,0.64,43061,0.36,57.56,18.725,"[{'type': 'BEARISH_DIVERGENCE', 'strength': 'STRONG', 'description': 'Bearish divergence: Price up but RSI down'}]",1,3,NEUTRAL,0.0,BUYING,BUYING,2026-08-08 17:15:39
