ticker,company_name,current_price,change_percent,volume,volume_ratio,rsi,macd,signals,signal_count,strength_score,news_sentiment,sentiment_score,fii_trend,dii_trend,last_updated
500009.BO,Unknown,46.63,6.15,161643,2.68,89.25,2.9922,"[{'type': 'BREAKOUT_20DAY_HIGH', 'strength': 'STRONG', 'description': 'Price broke above 20-day high (45.03) with 2.68x volume'}, {'type': 'BOLLINGER_BREAKOUT', 'strength': 'STRONG', 'description': 'Price broke above upper Bollinger Band (44.86)'}, {'type': 'RSI_OVERBOUGHT_REVERSAL', 'strength': 'STRONG', 'description': 'RSI overbought at 89.25, potential bearish reversal'}]",3,9,NEUTRAL,0.0,BUYING,SELLING,2026-08-08 17:14:31
500034.BO,Unknown,1055.7,1.75,190696,0.25,72.11,29.1941,"[{'type': 'RSI_OVERBOUGHT_REVERSAL', 'strength': 'MODERATE', 'description': 'RSI overbought at 72.11, potential bearish reversal'}, {'type': 'BEARISH_DIVERGENCE', 'strength': 'STRONG', 'description': 'Bearish divergence: Price up but RSI down'}]",2,5,NEUTRAL,0.0,BUYING,SELLING,2026-08-08 17:14:26
500039.BO,Unknown,660.3,-0.14,13153,1.08,50.74,3.5959,"[{'type': 'HAMMER_PATTERN', 'strength': 'MODERATE', 'description': 'Hammer candlestick pattern - potential bullish reversal'}, {'type': 'BULLISH_DIVERGENCE', 'strength': 'STRONG', 'description': 'Bullish divergence: Price down but RSI up'}]",2,5,NEUTRAL,0.0,BUYING,SELLING,2026-08-08 17:14:34
500325.BO,Unknown,1326.5,2.59,848885,0.93,52.1,-4.3401,"[{'type': 'BEARISH_DIVERGENCE', 'strength': 'STRONG', 'description': 'Bearish divergence: Price up but RSI down'}]",1,3,NEUTRAL,0.0,BUYING,SELLING,2026-08-08 17:14:24
500112.BO,Unknown,1044.1,1.24,895923,1.3,49.64,6.1728,"[{'type': 'BEARISH_DIVERGENCE', 'strength': 'STRONG', 'description': 'Bearish divergence: Price up but RSI down'}]",1,3,NEUTRAL,0.0,BUYING,SELLING,2026-08-08 17:14:25
500510.BO,Unknown,3815.0,1.04,99546,0.57,16.36,-62.1146,"[{'type': 'RSI_OVERSOLD_REVERSAL', 'strength': 'STRONG', 'description': 'RSI oversold at 16.36, potential bullish reversal'}]",1,3,NEUTRAL,0.0,BUYING,SELLING,2026-08-08 17:14:28
500031.BO,Unknown,330.85,-0.69,4405,0.15,59.78,0.9138,"[{'type': 'BEARISH_DIVERGENCE', 'strength': 'STRONG', 'description': 'Bearish divergence: Price up but RSI down'}]",1,3,NEUTRAL,0.0,BUYING,SELLING,2026-08-08 17:14:33
500008.BO,Unknown,932.15,0.64,43061,0.36,57.56,18.725,"[{'type': 'BEARISH_DIVERGENCE', 'strength': 'STRONG', 'description': 'Bearish divergence: Price up but RSI down'}]",1,3,NEUTRAL,0.0,BUYING,SELLING,2026-08-08 17:14:28
500027.BO,Unknown,6145.15,0.96,2377,0.24,27.75,-135.9789,"[{'type': 'RSI_OVERSOLD_REVERSAL', 'strength': 'MODERATE', 'description': 'RSI oversold at 27.75, potential bullish reversal'}]",1,2,NEUTRAL,0.0,BUYING,SELLING,2026-08-08 17:14:32
